,score,home_id,away_id,league_id,status,fixture_id,last_changed,away_name,location,added,scheduled,events,h2h,ft_score,date,et_score,competition_name,ht_score,home_name,competition_id,time,id,full_time,extra_time,half_time
23,2-Mar,1453,1458,801,FINISHED,0,7/2/18 19:56,Japan,,7/2/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95256&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1453&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1458&key=sAyccMI0kNtc6o2t,2-Mar,7/2/18,,FIFA World Cup,0 - 0,Belgium,362,FT,95256,1,,X
24,Jan-00,1451,208,801,FINISHED,0,7/3/18 15:58,Switzerland,,7/3/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95267&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1451&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=208&key=sAyccMI0kNtc6o2t,Jan-00,7/3/18,,FIFA World Cup,0 - 0,Sweden,362,FT,95267,1,,X
25,0 - 2,1434,1439,802,FINISHED,0,7/6/18 15:57,France,,7/6/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95378&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1434&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1439&key=sAyccMI0kNtc6o2t,0 - 2,7/6/18,,FIFA World Cup,0 - 1,Uruguay,362,FT,95378,2,,2
26,2-Jan,1448,1453,802,FINISHED,0,7/6/18 19:58,Belgium,,7/6/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95389&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1448&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1453&key=sAyccMI0kNtc6o2t,2-Jan,7/6/18,,FIFA World Cup,0 - 2,Brazil,362,FT,95389,2,,2
27,0 - 2,1451,1456,802,FINISHED,0,7/7/18 15:55,England,,7/7/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95472&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1451&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1456&key=sAyccMI0kNtc6o2t,0 - 2,7/7/18,,FIFA World Cup,0 - 1,Sweden,362,FT,95472,2,,2
28,2-Feb,1431,211,802,FINISHED,0,7/7/18 20:51,Croatia,,7/7/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95508&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1431&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=211&key=sAyccMI0kNtc6o2t,1-Jan,7/7/18,,FIFA World Cup,1-Jan,Russia,362,Pen,95508,X,,X
29,2-Feb,1431,0,802,FINISHED,0,7/7/18 20:54,Croatia *,,7/7/18 20:52,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95511&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1431&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=0&key=sAyccMI0kNtc6o2t,,7/8/18,2-Feb,FIFA World Cup,,Russia,362,AET,95511,,X,
0,Jan-00,1439,1453,803,FINISHED,0,7/10/18 19:58,Belgium,,7/10/18 17:59,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95654&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1439&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1453&key=sAyccMI0kNtc6o2t,Jan-00,7/11/18,,FIFA World Cup,0 - 0,France,362,FT,95654,1,,X
1,1-Feb,211,1456,803,FINISHED,0,7/11/18 20:42,England,,7/11/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95733&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=211&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1456&key=sAyccMI0kNtc6o2t,1-Jan,7/11/18,1-Feb,FIFA World Cup,0 - 1,Croatia,362,AET,95733,X,1,2
2,Feb-00,1453,1456,804,FINISHED,0,7/14/18 15:57,England,,7/14/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95929&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1453&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1456&key=sAyccMI0kNtc6o2t,Feb-00,7/14/18,,FIFA World Cup,Jan-00,Belgium,362,FT,95929,1,,1
3,2-Apr,1439,211,805,FINISHED,0,7/15/18 16:58,Croatia,,7/15/18 14:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=96109&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1439&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=211&key=sAyccMI0kNtc6o2t,2-Apr,7/15/18,,FIFA World Cup,1-Feb,France,362,FT,96109,1,,1
